"entite_adm","code_ins","revenu_moyen_decla","revenu_median_decla"
"Plombières",63088,48422,42645
"Thimister-Clermont",63089,62288,54212
"Arrondissement de Waremme",64000,60437,51524
"Berloz",64008,61401,51979
"Braives",64015,60469,52754
"Crisnée",64021,62588,54187
"Donceel",64023,62778,56067
"Fexhe-le-Haut-Clocher",64025,59247,50658
"Geer",64029,67952,56814
"Hannut",64034,61486,51215
"Lincent",64047,60359,52294
"Oreye",64056,57811,50260
"Remicourt",64063,63111,54299
"Saint-Georges-sur-Meuse",64065,54461,46374
"Waremme",64074,56464,47599
"Wasseiges",64075,61326,53382
"Faimes",64076,66914,56965
"Province de Limbourg",70000,51402,43273
"Arrondissement de Hasselt",71000,52945,43956
"As",71002,56341,46852
"Beringen",71004,48979,41316
"Diepenbeek",71011,56080,47899
"Genk",71016,47804,38077
"Gingelom",71017,57823,47729
"Halen",71020,54776,46597
"Hasselt",71022,58150,48925
"Herck-la-Ville",71024,57003,48735
"Bourg-Léopold",71034,47983,41520
"Lummen",71037,55895,46810
"Nieuwerkerken (Hasselt)",71045,53495,45896
"Saint-Trond",71053,52336,44095
"Tessenderlo",71057,54996,46609
"Zonhoven",71066,56017,48085
"Zutendaal",71067,53826,45536
"Ham",71069,51689,44750
"Heusden-Zolder",71070,49803,40584
"Arrondissement de Maaseik",72000,49176,42623
"Bocholt",72003,47145,42200
"Bree",72004,49191,43548
"Kinrooi",72018,47467,40997
"Lommel",72020,50279,43027
"Maaseik",72021,49810,42061
"Peer",72030,49903,45829
"Hamont-Achel",72037,46671,41010
"Hechtel-Eksel",72038,50689,44547
"Houthalen-Helchteren",72039,47094,39688
"Dilsen-Stokkem",72041,48958,41660
"Oudsbergen",72042,50813,44859
"Pelt",72043,50018,43521
"Arrondissement de Tongres",73000,51127,42903
"Alken",73001,57193,48502
"Bilzen",73006,52657,45187
"Looz",73009,52160,44375
"Heers",73022,50402,44070
"Herstappe",73028,56263,43732
"Hoeselt",73032,53998,45929
"Kortessem",73040,54932,47111
"Lanaken",73042,52025,42268
"Riemst",73066,51458,44427
"Tongres",73083,52016,44239
"Wellen",73098,54013,46328
"Maasmechelen",73107,43930,37123
"Fourons",73109,51645,41912
"Province de Luxembourg",80000,57212,48879
"Arrondissement d’Arlon",81000,68480,55438
"Arlon",81001,71236,59621
"Attert",81003,87677,69252
"Aubange",81004,55044,46974
"Martelange",81013,57855,48972
"Messancy",81015,72552,58644
"Arrondissement de Bastogne",82000,52632,47123
"Bastogne",82003,54039,47643
"Bertogne",82005,56558,48588
